time	V(vout)
9.974700754497558e-03	1.883566e+00
1.007035174353196e-02	1.629674e+00
1.015665749045809e-02	1.568082e+00
1.025709325613324e-02	1.551868e+00
1.035327528716497e-02	1.543303e+00
1.052511504541174e-02	1.534832e+00
1.062094760442153e-02	1.532409e+00
1.067697923904722e-02	1.531963e+00
1.071814892335319e-02	1.531999e+00
1.075537436360782e-02	1.532264e+00
1.079325549473581e-02	1.532750e+00
1.082872809963194e-02	1.533464e+00
1.088369592753573e-02	1.535290e+00
1.097268223219820e-02	1.541323e+00
1.111372633819662e-02	1.564652e+00
1.120645985984516e-02	1.662258e+00
1.125144885631773e-02	1.874128e+00
1.129103472729145e-02	2.225708e+00
1.131992543766933e-02	2.497577e+00
1.135146642819765e-02	2.716206e+00
1.141454840925428e-02	2.978625e+00
1.149015177224002e-02	3.166284e+00
1.157395703950781e-02	3.297960e+00
1.172606739721235e-02	3.457613e+00
1.179100267716605e-02	3.494466e+00
1.183794561982675e-02	3.499171e+00
1.187295364248065e-02	3.488858e+00
1.191405013954420e-02	3.456074e+00
1.195930054974250e-02	3.381580e+00
1.201064253135321e-02	3.222880e+00
1.209386917970661e-02	2.841443e+00
1.222640771911955e-02	2.184196e+00
1.235933506110949e-02	1.712636e+00
1.246327302393001e-02	1.575592e+00
1.256299814163010e-02	1.555992e+00
1.265532065863868e-02	1.547253e+00
1.281448604422592e-02	1.539155e+00
1.290550712095631e-02	1.536870e+00
1.295829016376777e-02	1.536545e+00
1.299728851659384e-02	1.536762e+00
1.303584233921960e-02	1.537366e+00
1.308377524502531e-02	1.538634e+00
1.312766075872288e-02	1.540500e+00
1.319895519987490e-02	1.546077e+00
1.331343511523750e-02	1.568346e+00
1.340957792493961e-02	1.665823e+00
1.344519237451990e-02	1.840369e+00
1.349020776318225e-02	2.247102e+00
1.351990129260508e-02	2.526296e+00
1.355254480021794e-02	2.765344e+00
1.361783181544367e-02	3.066905e+00
1.370434214424647e-02	3.301166e+00
1.379649924972009e-02	3.459944e+00
1.393734035211990e-02	3.631690e+00
1.402133860253339e-02	3.697005e+00
1.407980070229326e-02	3.716820e+00
1.412257214959134e-02	3.714933e+00
1.415866310325779e-02	3.699318e+00
1.419346968948641e-02	3.666545e+00
1.423451861959272e-02	3.592426e+00
1.428742067890944e-02	3.420564e+00
1.437312923812904e-02	3.016691e+00
1.450935111129006e-02	2.327513e+00
1.465270448959917e-02	1.752921e+00
1.472163204248663e-02	1.616217e+00
1.479092895928481e-02	1.579644e+00
1.486611118118988e-02	1.563671e+00
1.493795658047664e-02	1.555124e+00
1.504208209658161e-02	1.547875e+00
1.513676642861973e-02	1.544217e+00
1.520123127403358e-02	1.543362e+00
1.524787565557850e-02	1.543573e+00
1.528267671967962e-02	1.544192e+00
1.532391028144541e-02	1.545504e+00
1.536867792653857e-02	1.547743e+00
1.542019937642192e-02	1.552134e+00
1.550371181636999e-02	1.573359e+00
1.561589380731172e-02	1.736642e+00
1.565784457200045e-02	1.970299e+00
1.569616500485154e-02	2.306838e+00
1.574859925870008e-02	2.732509e+00
1.580370357108432e-02	3.042534e+00
1.591391219585280e-02	3.389355e+00
1.600930777289235e-02	3.577492e+00
1.612959529863672e-02	3.746831e+00
1.624200174029028e-02	3.860209e+00
1.631582327144008e-02	3.903832e+00
1.636827354700562e-02	3.913645e+00
1.640704752082198e-02	3.905977e+00
1.644573912962103e-02	3.880024e+00
1.649386111920441e-02	3.813586e+00
1.653837116924635e-02	3.692991e+00
1.661066907091614e-02	3.380433e+00
1.672668837547189e-02	2.775560e+00
1.685393070542948e-02	2.175109e+00
1.697942899932925e-02	1.777090e+00
1.705839121524821e-02	1.639542e+00
1.710413620327135e-02	1.600665e+00
1.714542381726652e-02	1.584206e+00
1.718635900786450e-02	1.574648e+00
1.725393074032783e-02	1.564618e+00
1.731917630568338e-02	1.558844e+00
1.743475375869656e-02	1.554150e+00
1.750560619610652e-02	1.553623e+00
1.754413683503744e-02	1.554511e+00
1.758297858525519e-02	1.556466e+00
1.763630928989872e-02	1.560847e+00
1.768463669193909e-02	1.568740e+00
1.776305250722816e-02	1.599714e+00
1.780653777319818e-02	1.674437e+00
1.783329049257026e-02	1.810047e+00
1.786477703891569e-02	2.056123e+00
1.789967375702879e-02	2.342186e+00
1.793589118398851e-02	2.616421e+00
1.800832603790794e-02	3.027202e+00
1.815319574574680e-02	3.504453e+00
1.829334700820732e-02	3.777789e+00
1.842686140359917e-02	3.955482e+00
1.853018235254235e-02	4.049530e+00
1.859929192335284e-02	4.083640e+00
1.864885295023287e-02	4.088885e+00
1.868566351984356e-02	4.078451e+00
1.872558751169061e-02	4.047090e+00
1.877500559747754e-02	3.966865e+00
1.882479547555825e-02	3.812746e+00
1.890554757971157e-02	3.437037e+00
1.903438744674400e-02	2.770101e+00
1.917499173188404e-02	2.177438e+00
1.931038327388076e-02	1.818385e+00
1.937678635598107e-02	1.708342e+00
1.944168940446268e-02	1.637326e+00
1.950814651725877e-02	1.596986e+00
1.955155452553981e-02	1.583948e+00
1.959054329800960e-02	1.577330e+00
1.962951183972463e-02	1.573098e+00
1.968035752261976e-02	1.569862e+00
1.973264365654833e-02	1.568927e+00
1.980430164046064e-02	1.570784e+00
1.984302084970880e-02	1.573637e+00
1.987836871781059e-02	1.578529e+00
1.991748257337815e-02	1.589423e+00
1.997105398844387e-02	1.631885e+00
2.000751288497256e-02	1.734116e+00
2.004854995386493e-02	1.961534e+00
2.008603406628467e-02	2.216676e+00
2.011986269511505e-02	2.448093e+00
2.018751995277579e-02	2.858600e+00
2.030751605575736e-02	3.385175e+00
2.043170296389995e-02	3.712628e+00
2.058557386886013e-02	3.964745e+00
2.076023792310145e-02	4.172283e+00
2.084269506819042e-02	4.231627e+00
2.090026606150163e-02	4.246915e+00
2.094245249786958e-02	4.242210e+00
2.097895689140567e-02	4.223643e+00
2.101397266418598e-02	4.187585e+00
2.105356371903167e-02	4.110380e+00
2.110700627871111e-02	3.926837e+00
2.119357341947012e-02	3.506570e+00
2.133106315954672e-02	2.798243e+00
2.146315125445057e-02	2.275412e+00
2.160575997666679e-02	1.935648e+00
2.172397153843447e-02	1.754634e+00
2.181192708517233e-02	1.662079e+00
2.189363317954679e-02	1.614602e+00
2.194828859182076e-02	1.600647e+00
2.198461880025984e-02	1.597370e+00
2.202705838259655e-02	1.597874e+00
2.208284393574108e-02	1.605391e+00
2.213315053272553e-02	1.629034e+00
2.218352629373254e-02	1.707611e+00
2.223295873292641e-02	1.877648e+00
2.227933495433914e-02	2.111132e+00
2.233187577394062e-02	2.412494e+00
2.243695741314358e-02	2.984419e+00
2.257124955832501e-02	3.526708e+00
2.271991367338991e-02	3.887352e+00
2.290621869942081e-02	4.174471e+00
2.305209306759514e-02	4.332275e+00
2.312843593384158e-02	4.378628e+00
2.318240417548688e-02	4.388275e+00
2.322219873074399e-02	4.380115e+00
2.326026876363059e-02	4.355105e+00
2.330194753600357e-02	4.301978e+00
2.334011789228697e-02	4.209377e+00
2.340220035465993e-02	3.961029e+00
2.350239234117870e-02	3.448057e+00
2.365201092503112e-02	2.721553e+00
2.379609931173704e-02	2.245857e+00
2.392987065664107e-02	1.994353e+00
2.412707966110265e-02	1.757020e+00
2.423138086609444e-02	1.684672e+00
2.429476694259445e-02	1.674044e+00
2.434072397698118e-02	1.686026e+00
2.437504750076627e-02	1.712733e+00
2.441659921035071e-02	1.777274e+00
2.446024966018056e-02	1.897506e+00
2.451218620499230e-02	2.115549e+00
2.459635938291174e-02	2.554717e+00
2.470398699951505e-02	3.112699e+00
2.484298205807241e-02	3.658791e+00
2.499595263170363e-02	4.022616e+00
2.519556691409829e-02	4.325147e+00
2.532617333508473e-02	4.462727e+00
2.540209190355248e-02	4.506719e+00
2.545580604234617e-02	4.515225e+00
2.549543028338910e-02	4.506084e+00
2.553360312536740e-02	4.479808e+00
2.557575269144363e-02	4.423787e+00
2.561460017318478e-02	4.325958e+00
2.567777661048119e-02	4.067326e+00
2.577967921364011e-02	3.540597e+00
2.592026152033313e-02	2.849223e+00
2.605162217351741e-02	2.404905e+00
2.618925847848256e-02	2.138113e+00
2.638817676455869e-02	1.889027e+00
2.650116429580576e-02	1.804434e+00
2.656540684993910e-02	1.790913e+00
2.661190990528532e-02	1.802993e+00
2.664661290470742e-02	1.830236e+00
2.668791158562187e-02	1.893628e+00
2.673245017957541e-02	2.013964e+00
2.678405675857570e-02	2.227687e+00
2.686770473621615e-02	2.661730e+00
2.698117341591250e-02	3.245087e+00
2.712502530523353e-02	3.799576e+00
2.728042892648519e-02	4.159970e+00
2.748178299073165e-02	4.458876e+00
2.759855165353684e-02	4.578648e+00
2.767457955143231e-02	4.621135e+00
2.772835921702090e-02	4.629246e+00
2.776802739818722e-02	4.619654e+00
2.780617368057124e-02	4.592740e+00
2.784820171906562e-02	4.535775e+00
2.788687441115391e-02	4.437149e+00
2.794976851619242e-02	4.178261e+00
2.805122998101297e-02	3.654157e+00
2.819755479039186e-02	2.942604e+00
2.833424793249121e-02	2.492606e+00
2.847526082256679e-02	2.227826e+00
2.866934887159930e-02	1.988054e+00
2.876722193469704e-02	1.914868e+00
2.883342187864609e-02	1.899320e+00
2.888116390015665e-02	1.909300e+00
2.891672442909037e-02	1.934846e+00
2.895745745312309e-02	1.993958e+00
2.900399243987132e-02	2.114790e+00
2.905485657544583e-02	2.320981e+00
2.913732194009393e-02	2.746082e+00
2.925161355597999e-02	3.334765e+00
2.939656268575956e-02	3.898480e+00
2.955373764531916e-02	4.265760e+00
2.975484759244803e-02	4.563819e+00
2.987148662897656e-02	4.682683e+00
2.994744944383268e-02	4.724540e+00
3.000119010611271e-02	4.732116e+00
3.004083213463911e-02	4.722010e+00
3.007899422201364e-02	4.694323e+00
3.012109458681150e-02	4.635888e+00
3.015987130368942e-02	4.535199e+00
3.022293344185722e-02	4.273093e+00
3.032465748337702e-02	3.745609e+00
3.046676418642086e-02	3.052694e+00
3.060277460718132e-02	2.602142e+00
3.074480525021596e-02	2.332676e+00
3.094101134125676e-02	2.087977e+00
3.103926100911499e-02	2.013421e+00
3.110566427633157e-02	1.997021e+00
3.115353428775340e-02	2.006227e+00
3.118918312210874e-02	2.030980e+00
3.122985838486806e-02	2.088645e+00
3.127659810501628e-02	2.207961e+00
3.132738603971998e-02	2.412006e+00
3.140972995840336e-02	2.835488e+00
3.152982602838458e-02	3.449412e+00
3.167961958051865e-02	4.020073e+00
3.183781940144510e-02	4.380795e+00
3.203413065549594e-02	4.665965e+00
3.214826364461451e-02	4.779241e+00
3.222296249985621e-02	4.818516e+00
3.227594315450311e-02	4.824662e+00
3.231507458137130e-02	4.813534e+00
3.235354698599009e-02	4.782965e+00
3.240136789894144e-02	4.708205e+00
3.244488356091197e-02	4.580545e+00
3.251558343257144e-02	4.262285e+00
3.262914956616735e-02	3.664751e+00
3.276653115106455e-02	3.036320e+00
3.291433937427982e-02	2.606406e+00
3.306504705341628e-02	2.350584e+00
3.322798282222594e-02	2.162366e+00
3.332125279828065e-02	2.098438e+00
3.338494010688597e-02	2.085351e+00
3.343108945397059e-02	2.096075e+00
3.346554674014111e-02	2.122017e+00
3.350700907080552e-02	2.183048e+00
3.355097290957453e-02	2.297837e+00
3.360279304489133e-02	2.508754e+00
3.368678096377131e-02	2.941675e+00
3.380009487961822e-02	3.523761e+00
