time	V(vout)
7.123042783086858e-14	8.153568e-01
7.313777646368108e-14	8.166817e-01
7.314522704427801e-14	8.166867e-01
7.316012820547185e-14	8.166968e-01
7.318993052785955e-14	8.167169e-01
7.324953517263494e-14	8.167570e-01
7.326443633382879e-14	8.167670e-01
7.329423865621648e-14	8.167870e-01
7.335384330099188e-14	8.168269e-01
7.347305259054266e-14	8.169068e-01
7.347677788084111e-14	8.169093e-01
7.348422846143804e-14	8.169143e-01
7.349912962263188e-14	8.169242e-01
7.352893194501958e-14	8.169441e-01
7.358853658979498e-14	8.169838e-01
7.360343775098882e-14	8.169938e-01
7.363324007337652e-14	8.170136e-01
7.369284471815191e-14	8.170533e-01
7.370774587934575e-14	8.170632e-01
7.371147116964421e-14	8.170656e-01
7.371892175024114e-14	8.170705e-01
7.373382291143498e-14	8.170804e-01
7.373482291143498e-14	8.170811e-01
7.373682291143498e-14	8.170824e-01
7.374082291143498e-14	8.170851e-01
7.374882291143498e-14	8.170904e-01
7.376482291143498e-14	8.171010e-01
7.379682291143497e-14	8.171222e-01
7.380482291143497e-14	8.171275e-01
7.382082291143497e-14	8.171381e-01
7.382482291143497e-14	8.171408e-01
7.383282291143497e-14	8.171461e-01
7.384882291143496e-14	8.171567e-01
7.388082291143496e-14	8.171778e-01
7.394482291143496e-14	8.172201e-01
7.396082291143496e-14	8.172307e-01
7.399282291143495e-14	8.172518e-01
7.405682291143495e-14	8.172939e-01
7.418482291143495e-14	8.173781e-01
7.421682291143495e-14	8.173991e-01
7.428082291143495e-14	8.174410e-01
7.440882291143495e-14	8.175246e-01
7.444082291143495e-14	8.175455e-01
7.444882291143494e-14	8.175507e-01
7.446482291143494e-14	8.175611e-01
7.449682291143494e-14	8.175820e-01
7.450482291143493e-14	8.175872e-01
7.450682291143494e-14	8.175885e-01
7.451082291143494e-14	8.175911e-01
7.451882291143494e-14	8.175963e-01
7.453482291143493e-14	8.176067e-01
7.456682291143493e-14	8.176275e-01
7.457482291143493e-14	8.176327e-01
7.459082291143492e-14	8.176431e-01
7.459482291143492e-14	8.176457e-01
7.460282291143492e-14	8.176509e-01
