time	V(n004)
3.120851593610222e-03	1.303806e+00
3.123204144218787e-03	1.301847e+00
3.125062312642200e-03	1.300288e+00
3.127021143064164e-03	1.298635e+00
3.128869770867133e-03	1.297064e+00
3.131214714677102e-03	1.295058e+00
3.134313484073230e-03	1.292384e+00
3.138752333382228e-03	1.288508e+00
3.144350602941844e-03	1.283543e+00
3.166205077419401e-03	1.263322e+00
3.189704615135887e-03	1.240113e+00
3.236703690568859e-03	1.189915e+00
3.330701841434803e-03	1.081323e+00
3.518698143166692e-03	8.628560e-01
3.676165809590629e-03	7.019117e-01
3.771644500244089e-03	6.286933e-01
3.836543879449671e-03	5.960877e-01
3.883464062926929e-03	5.822282e-01
3.918456319252743e-03	5.779040e-01
3.959563240599567e-03	5.793262e-01
4.004776903461491e-03	5.882886e-01
4.056132548046737e-03	6.090764e-01
4.139380956300892e-03	6.656930e-01
4.271951905123165e-03	8.012044e-01
4.471383625710648e-03	1.064122e+00
4.624487923236272e-03	1.289344e+00
4.626683831113347e-03	1.292633e+00
4.631075646867497e-03	1.299134e+00
4.639859278375798e-03	1.312071e+00
4.653577560781115e-03	1.332135e+00
4.664158674855486e-03	1.347481e+00
4.672911520345264e-03	1.360073e+00
4.676664392261243e-03	1.365439e+00
4.680311798123558e-03	1.370629e+00
4.683783762004726e-03	1.375551e+00
4.686522576879442e-03	1.379422e+00
4.689149152461120e-03	1.383123e+00
4.691547597315081e-03	1.386492e+00
4.694257686073077e-03	1.390289e+00
4.696721198885050e-03	1.393731e+00
4.699046766343761e-03	1.396968e+00
4.703697901261183e-03	1.403415e+00
4.709038706123454e-03	1.410777e+00
4.714209742497685e-03	1.417848e+00
4.724551815246146e-03	1.431802e+00
4.743272270035640e-03	1.456444e+00
4.775508743272048e-03	1.496609e+00
4.839981689744862e-03	1.569478e+00
4.907407019423264e-03	1.633761e+00
4.986055973841427e-03	1.692733e+00
5.029556470364880e-03	1.716780e+00
5.065133665069796e-03	1.730088e+00
5.101976213319334e-03	1.738383e+00
5.143392142153376e-03	1.741135e+00
5.196158078762755e-03	1.733922e+00
5.281650301456651e-03	1.705198e+00
5.319845907382483e-03	1.685637e+00
5.345670177333102e-03	1.668914e+00
5.358873378123031e-03	1.659525e+00
5.362984498241134e-03	1.656460e+00
5.365698650192177e-03	1.654393e+00
5.367463108716041e-03	1.653035e+00
5.369371195583423e-03	1.651556e+00
5.371094982467435e-03	1.650211e+00
5.373412741563141e-03	1.648385e+00
5.377545511885157e-03	1.645087e+00
5.383729523433301e-03	1.640057e+00
5.393173722666099e-03	1.632140e+00
5.409916296860863e-03	1.617400e+00
5.441949843230058e-03	1.587098e+00
5.492463144657326e-03	1.534466e+00
5.582242034500638e-03	1.431857e+00
5.672647985178173e-03	1.322544e+00
5.770998904592019e-03	1.207673e+00
5.967700743419711e-03	1.007835e+00
6.060188826370812e-03	9.377828e-01
6.120520573203415e-03	9.092582e-01
6.164510952320600e-03	8.973125e-01
6.199743854141532e-03	8.935057e-01
6.237949061208207e-03	8.951083e-01
6.279610397796094e-03	9.034920e-01
6.332285296399709e-03	9.248269e-01
6.417632810865904e-03	9.830108e-01
6.553320547167672e-03	1.122256e+00
6.756429979635635e-03	1.388892e+00
6.863294077796363e-03	1.544786e+00
6.878251106717913e-03	1.567103e+00
6.908165164561015e-03	1.611151e+00
6.929784544608780e-03	1.642544e+00
6.946550078177240e-03	1.666521e+00
6.955370826466529e-03	1.678990e+00
6.958816466676051e-03	1.683823e+00
6.960735851985038e-03	1.686504e+00
6.961847313773810e-03	1.688054e+00
6.962987647886475e-03	1.689642e+00
6.964245068710990e-03	1.691390e+00
6.965200774930164e-03	1.692717e+00
6.966058859829101e-03	1.693907e+00
6.966461038077025e-03	1.694465e+00
6.966860659390027e-03	1.695018e+00
6.967275183692938e-03	1.695592e+00
6.967727976710626e-03	1.696219e+00
6.968253144819026e-03	1.696945e+00
6.968903572988591e-03	1.697844e+00
6.969762417960110e-03	1.699030e+00
6.970980051622213e-03	1.700710e+00
6.972755283758137e-03	1.703153e+00
6.975283267528025e-03	1.706624e+00
6.978059969149776e-03	1.710426e+00
6.980300220817046e-03	1.713484e+00
6.982212461797790e-03	1.716087e+00
6.984279173113081e-03	1.718893e+00
6.986921914319106e-03	1.722469e+00
6.989786901384141e-03	1.726332e+00
6.999980918816519e-03	1.739928e+00
7.010908002973292e-03	1.754230e+00
7.032762171286839e-03	1.781860e+00
7.076470507913932e-03	1.832930e+00
7.157207770997352e-03	1.914364e+00
7.241004483519660e-03	1.982210e+00
7.289144956748362e-03	2.011030e+00
7.324980220187601e-03	2.025714e+00
7.365533840283130e-03	2.035775e+00
7.412705263937165e-03	2.039658e+00
7.463332480408630e-03	2.033323e+00
7.545420211449067e-03	2.008140e+00
7.561775137687824e-03	2.000494e+00
7.594484990165335e-03	1.981032e+00
7.612388633500944e-03	1.969183e+00
7.628924292111775e-03	1.957286e+00
7.635582532634027e-03	1.952273e+00
7.638717064216725e-03	1.949848e+00
7.640997424879072e-03	1.948060e+00
7.642881193792320e-03	1.946570e+00
7.644829012152183e-03	1.945018e+00
7.646988921567397e-03	1.943283e+00
7.650384991494256e-03	1.940525e+00
7.655444009172316e-03	1.936353e+00
7.674163197629630e-03	1.920229e+00
7.694239964329207e-03	1.901724e+00
7.733183298765363e-03	1.862605e+00
7.811069967637677e-03	1.775621e+00
7.943413379619650e-03	1.616668e+00
8.096334719621302e-03	1.437235e+00
8.236841302278600e-03	1.295552e+00
8.327077881748664e-03	1.227523e+00
8.389080588166092e-03	1.196522e+00
8.434150658517372e-03	1.183007e+00
8.468627394441482e-03	1.178501e+00
8.511422405729035e-03	1.179500e+00
8.552615215946651e-03	1.187162e+00
8.605463912019114e-03	1.207991e+00
8.691087667400859e-03	1.265443e+00
8.827184132069820e-03	1.400378e+00
8.977399318136644e-03	1.592466e+00
9.147649146712705e-03	1.838133e+00
9.169001431395943e-03	1.869403e+00
9.211706000762418e-03	1.930804e+00
9.229148864132224e-03	1.955429e+00
9.236004497641505e-03	1.964947e+00
9.239961650454208e-03	1.970395e+00
9.242092760931469e-03	1.973318e+00
9.243309741898208e-03	1.974983e+00
9.243990864545696e-03	1.975913e+00
9.244445462210716e-03	1.976534e+00
9.245064640230890e-03	1.977379e+00
9.245655992906563e-03	1.978185e+00
9.245828810378477e-03	1.978420e+00
9.246001627850393e-03	1.978656e+00
9.246174445322308e-03	1.978891e+00
9.246347262794224e-03	1.979126e+00
9.246520080266139e-03	1.979362e+00
9.246692897738055e-03	1.979597e+00
9.246865715209969e-03	1.979832e+00
9.247881933551175e-03	1.981213e+00
9.249914370233587e-03	1.983971e+00
9.252438718303488e-03	1.987387e+00
9.255155919880201e-03	1.991052e+00
9.257374872955703e-03	1.994037e+00
9.259146399125819e-03	1.996413e+00
9.261102847532716e-03	1.999031e+00
9.263240120466325e-03	2.001882e+00
9.265783451458974e-03	2.005261e+00
9.270870113444270e-03	2.011982e+00
9.276576283240226e-03	2.019455e+00
9.287988622832139e-03	2.034143e+00
9.310813302015964e-03	2.062451e+00
9.356462660383614e-03	2.114370e+00
9.441688058223117e-03	2.196799e+00
9.527975712730379e-03	2.262444e+00
9.572389127813798e-03	2.286647e+00
9.607325319329851e-03	2.299004e+00
9.650674884796420e-03	2.307694e+00
9.690053260813694e-03	2.309171e+00
9.743574640733764e-03	2.299994e+00
9.830266930161194e-03	2.269960e+00
9.840773581296881e-03	2.264732e+00
9.861786883568254e-03	2.251849e+00
9.878917715587786e-03	2.240453e+00
9.895400408579958e-03	2.228663e+00
9.904720186826243e-03	2.221659e+00
9.909537222640720e-03	2.217920e+00
9.911947598301355e-03	2.216017e+00
9.913763775996070e-03	2.214568e+00
9.915639431106666e-03	2.213062e+00
9.917405623313029e-03	2.211633e+00
9.919871589527099e-03	2.209621e+00
9.923546750492292e-03	2.206589e+00
9.928948281544784e-03	2.202060e+00
9.936263169370281e-03	2.195785e+00
