time	V(vout)
6.962987647886475e-03	1.896614e+00
6.964245068710990e-03	1.938223e+00
6.965200774930164e-03	1.971816e+00
6.966058859829101e-03	2.003402e+00
6.966461038077025e-03	2.018664e+00
6.966860659390027e-03	2.034115e+00
6.967275183692938e-03	2.050437e+00
6.967727976710626e-03	2.068604e+00
6.968253144819026e-03	2.090110e+00
6.968903572988591e-03	2.117368e+00
6.969762417960110e-03	2.154346e+00
6.970980051622213e-03	2.208319e+00
6.972755283758137e-03	2.288038e+00
6.975283267528025e-03	2.395028e+00
6.978059969149776e-03	2.490856e+00
6.980300220817046e-03	2.542280e+00
6.982212461797790e-03	2.566658e+00
6.984279173113081e-03	2.581190e+00
6.986921914319106e-03	2.593530e+00
6.989786901384141e-03	2.604831e+00
6.999980918816519e-03	2.639613e+00
7.010908002973292e-03	2.670799e+00
7.032762171286839e-03	2.721723e+00
7.076470507913932e-03	2.799789e+00
7.157207770997352e-03	2.904372e+00
7.241004483519660e-03	2.978522e+00
7.289144956748362e-03	3.003993e+00
7.324980220187601e-03	3.012392e+00
7.365533840283130e-03	3.011606e+00
7.412705263937165e-03	2.997314e+00
7.463332480408630e-03	2.956095e+00
7.545420211449067e-03	2.836380e+00
7.561775137687824e-03	2.774516e+00
7.594484990165335e-03	2.496470e+00
7.612388633500944e-03	2.176849e+00
7.628924292111775e-03	1.755045e+00
7.635582532634027e-03	1.629653e+00
7.638717064216725e-03	1.609044e+00
7.640997424879072e-03	1.605738e+00
7.642881193792320e-03	1.604050e+00
7.644829012152183e-03	1.602501e+00
7.646988921567397e-03	1.600989e+00
7.650384991494256e-03	1.598770e+00
7.655444009172316e-03	1.595771e+00
7.674163197629630e-03	1.586797e+00
7.694239964329207e-03	1.579541e+00
7.733183298765363e-03	1.569156e+00
7.811069967637677e-03	1.555104e+00
7.943413379619650e-03	1.540324e+00
8.096334719621302e-03	1.531089e+00
8.236841302278600e-03	1.527230e+00
8.327077881748664e-03	1.526149e+00
8.389080588166092e-03	1.525784e+00
8.434150658517372e-03	1.525647e+00
8.468627394441482e-03	1.525611e+00
8.511422405729035e-03	1.525637e+00
8.552615215946651e-03	1.525735e+00
8.605463912019114e-03	1.526004e+00
8.691087667400859e-03	1.526918e+00
8.827184132069820e-03	1.530449e+00
8.977399318136644e-03	1.542163e+00
9.147649146712705e-03	1.569420e+00
9.169001431395943e-03	1.579559e+00
9.211706000762418e-03	1.662632e+00
9.229148864132224e-03	1.805936e+00
9.236004497641505e-03	1.951138e+00
9.239961650454208e-03	2.083780e+00
9.242092760931469e-03	2.169653e+00
9.243309741898208e-03	2.222879e+00
9.243990864545696e-03	2.253983e+00
9.244445462210716e-03	2.275154e+00
9.245064640230890e-03	2.304638e+00
9.245655992906563e-03	2.333272e+00
9.245828810378477e-03	2.341748e+00
9.246001627850393e-03	2.350272e+00
9.246174445322308e-03	2.358842e+00
9.246347262794224e-03	2.367460e+00
9.246520080266139e-03	2.376124e+00
9.246692897738055e-03	2.384836e+00
9.246865715209969e-03	2.393595e+00
9.247881933551175e-03	2.445755e+00
